Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-28,71.98,72.25,68.92,69.15,5866500,0.0,0
2019-03-29,69.33,69.49,68.16,69.1,5051900,0.0,0
2019-04-01,69.54,70.04,69.27,69.97,3808300,0.0,0
2019-04-02,69.81,70.16,69.22,69.73,3913300,0.0,0
2019-04-03,69.82,70.02,68.7,69.0,3077500,0.0,0
2019-04-04,69.08,70.13,69.0,70.05,3037100,0.0,0
2019-04-05,70.48,70.75,70.05,70.35,3483100,0.0,0
2019-04-08,70.14,71.24,69.77,71.23,4035400,0.0,0
2019-04-09,70.96,71.66,70.27,71.42,2866800,0.0,0
2019-04-10,71.55,72.33,71.19,72.16,2629900,0.0,0
2019-04-11,72.15,73.01,71.84,73.0,2535700,0.0,0
2019-04-12,73.19,73.88,72.87,73.71,2858700,0.0,0
2019-04-15,73.71,73.86,73.19,73.79,2194500,0.0,0
2019-04-16,74.0,74.27,73.52,74.1,2834500,0.0,0
2019-04-17,72.72,74.31,71.3,72.46,7576000,0.0,0
2019-04-18,73.22,73.78,72.57,73.75,2746800,0.0,0
2019-04-22,73.76,73.86,73.01,73.72,1912400,0.0,0
2019-04-23,73.56,74.0,73.05,73.75,2180400,0.0,0
2019-04-24,73.39,73.87,72.72,73.33,2373500,0.0,0
2019-04-25,72.7,73.58,72.51,72.71,3365800,0.0,0
2019-04-26,74.73,74.73,72.6,72.92,3561900,0.0,0
2019-04-29,72.94,73.82,72.5,73.6,2631300,0.0,0
2019-04-30,73.47,73.74,72.55,72.99,3064900,0.0,0
2019-05-01,73.14,74.11,73.04,73.58,2941100,0.0,0
2019-05-02,73.78,73.95,72.66,73.61,2269300,0.0,0
2019-05-03,73.71,74.78,73.4,74.74,2588800,0.0,0
2019-05-06,73.88,74.51,73.34,74.46,1875700,0.0,0
2019-05-07,73.8,74.45,73.54,74.0,2594800,0.0,0
2019-05-08,73.96,73.96,72.48,72.63,2849200,0.0,0
2019-05-09,72.3,74.4,72.25,74.25,3319800,0.0,0
2019-05-10,74.0,75.32,73.54,75.23,3360500,0.0,0
2019-05-13,74.38,74.74,73.25,73.42,3476800,0.0,0
2019-05-14,73.42,73.87,73.04,73.6,2987100,0.0,0
2019-05-15,73.37,74.78,73.05,74.63,3798200,0.0,0
2019-05-16,74.48,77.13,74.25,75.38,4946400,0.0,0
2019-05-17,75.39,76.32,75.02,75.37,3619000,0.0,0
2019-05-20,79.87,80.93,75.72,78.29,20102700,0.0,0
2019-05-21,78.16,78.29,76.78,77.15,6339000,0.0,0
2019-05-22,76.49,77.13,76.14,76.35,3287300,0.0,0
2019-05-23,76.26,77.0,75.25,76.01,3887000,0.0,0
2019-05-24,76.5,77.45,75.63,77.27,3579500,0.0,0
2019-05-28,77.55,77.98,75.89,75.91,5391300,0.0,0
2019-05-29,75.82,76.65,75.29,76.13,3540700,0.0,0
2019-05-30,76.04,76.57,75.02,76.03,4111900,0.0,0
2019-05-31,74.81,75.25,73.28,73.44,5147800,0.0,0
2019-06-03,73.62,74.64,73.37,74.2,2941000,0.0,0
2019-06-04,74.63,75.74,74.52,75.69,3144700,0.0,0
2019-06-05,75.94,76.55,75.67,76.29,1970200,0.0,0
2019-06-06,76.14,76.44,74.61,75.95,2671000,0.0,0
2019-06-07,76.55,77.14,76.31,77.03,2256600,0.0,0
2019-06-10,77.06,77.38,76.38,76.67,3096000,0.0,0
2019-06-11,77.13,77.46,74.63,75.46,3822500,0.0,0
2019-06-12,75.83,75.9,74.65,75.38,3296200,0.0,0
2019-06-13,75.17,75.28,74.01,74.45,4279700,0.0,0
2019-06-14,74.67,78.0,74.28,74.9,4813600,0.0,0
2019-06-17,75.08,75.43,74.54,75.27,2929000,0.0,0
2019-06-18,75.94,77.13,75.55,76.44,4995900,0.0,0
2019-06-19,76.34,78.5,76.34,78.28,3377800,0.0,0
2019-06-20,79.11,79.26,77.15,77.93,3339500,0.0,0
2019-06-21,77.71,77.75,75.2,75.7,5223900,0.0,0
2019-06-24,76.02,76.55,75.38,75.54,2123000,0.0,0
2019-06-25,75.47,75.5,74.45,74.58,2593900,0.0,0
2019-06-26,74.28,74.4,72.77,73.04,4393300,0.0,0
2019-06-27,73.45,73.72,72.92,73.29,2319600,0.0,0
2019-06-28,73.29,74.49,72.9,74.14,4117800,0.0,0
2019-07-01,74.67,74.67,73.92,74.15,2226100,0.0,0
2019-07-02,74.4,75.78,73.92,75.48,2871700,0.0,0
2019-07-03,75.89,77.03,75.6,75.82,2080900,0.0,0
2019-07-05,75.83,76.43,75.63,76.23,1318500,0.0,0
2019-07-08,76.37,76.39,75.43,75.63,1667300,0.0,0
2019-07-09,75.35,75.83,75.08,75.15,3553000,0.0,0
2019-07-10,77.96,78.95,77.57,78.63,14441200,0.0,0
2019-07-11,78.73,78.88,76.95,78.26,10108700,0.0,0
2019-07-12,78.2,79.73,78.01,79.45,63068400,0.0,0
2019-07-15,79.67,80.0,78.59,79.31,6189800,0.0,0
2019-07-16,79.35,79.59,78.83,79.04,5234900,0.0,0
2019-07-17,79.23,79.46,78.9,78.93,3238100,0.0,0
2019-07-18,78.78,79.07,77.27,77.97,6471700,0.0,0
2019-07-19,77.99,77.99,76.94,77.43,5311800,0.0,0
2019-07-22,77.8,78.66,77.27,77.66,4694700,0.0,0
2019-07-23,77.74,78.16,76.95,78.14,3507800,0.0,0
2019-07-24,79.2,81.57,78.83,80.61,10198400,0.0,0
2019-07-25,81.36,81.41,79.71,79.91,5501600,0.0,0
2019-07-26,81.1,85.22,80.95,84.25,12333200,0.0,0
2019-07-29,84.63,84.79,81.92,82.38,5858900,0.0,0
2019-07-30,81.7,82.33,81.02,81.3,5285000,0.0,0
2019-07-31,81.22,81.65,78.95,79.73,4596600,0.0,0
2019-08-01,79.99,80.31,78.77,79.31,4761400,0.0,0
2019-08-02,79.39,79.39,76.79,77.73,5428000,0.0,0
2019-08-05,76.85,77.0,75.62,76.19,4046200,0.0,0
2019-08-06,76.51,77.32,75.97,77.28,4010400,0.0,0
2019-08-07,76.49,76.8,75.27,76.48,3492700,0.0,0
2019-08-08,76.94,78.06,76.83,77.9,3023400,0.0,0
2019-08-09,77.6,78.21,77.01,77.52,2698600,0.0,0
2019-08-12,77.07,77.61,76.77,76.94,1888200,0.0,0
2019-08-13,76.93,78.26,76.78,77.62,2541600,0.0,0
2019-08-14,76.77,77.38,76.11,76.93,2900800,0.0,0
2019-08-15,76.47,77.8,76.2,77.27,2582100,0.0,0
2019-08-16,77.99,78.25,77.46,77.75,3094600,0.0,0
2019-08-19,78.26,78.5,77.72,78.23,1697300,0.0,0
2019-08-20,77.98,78.24,77.64,77.68,1856000,0.0,0
2019-08-21,78.07,78.31,77.77,78.18,1221500,0.0,0
2019-08-22,78.31,78.42,77.51,77.79,2010900,0.0,0
2019-08-23,77.64,78.25,76.12,76.48,2883800,0.0,0
2019-08-26,77.0,78.07,76.68,78.06,1735900,0.0,0
2019-08-27,77.7,78.1,77.02,77.12,1871900,0.0,0
2019-08-28,76.93,77.37,76.28,77.06,2035600,0.0,0
2019-08-29,77.87,78.41,77.4,78.01,1389900,0.0,0
2019-08-30,78.38,78.38,77.79,78.05,1701100,0.0,0
2019-09-03,77.9,77.94,77.0,77.13,1752700,0.0,0
2019-09-04,77.51,77.84,77.02,77.61,1876500,0.0,0
2019-09-05,78.22,78.57,77.56,77.83,1963000,0.0,0
2019-09-06,77.96,79.17,77.85,79.15,2930500,0.0,0
2019-09-09,79.33,79.47,78.59,79.13,2514400,0.0,0
2019-09-10,78.78,78.78,77.94,78.38,2254200,0.0,0
2019-09-11,78.39,79.77,78.21,79.74,2412200,0.0,0
2019-09-12,79.88,80.6,79.39,79.69,2005900,0.0,0
2019-09-13,80.09,80.09,79.03,79.4,1737700,0.0,0
2019-09-16,78.96,79.64,78.74,79.56,2178800,0.0,0
2019-09-17,79.73,80.55,79.06,80.21,2851800,0.0,0
2019-09-18,80.21,80.55,79.58,80.12,2200400,0.0,0
2019-09-19,80.72,81.15,80.54,81.0,2257200,0.0,0
2019-09-20,80.56,80.85,79.08,80.59,7141600,0.0,0
2019-09-23,80.02,80.78,79.81,79.96,2361200,0.0,0
2019-09-24,80.49,80.49,79.03,79.36,3631000,0.0,0
2019-09-25,79.53,80.03,78.86,79.81,1957600,0.0,0
2019-09-26,79.97,80.01,78.96,79.0,1902600,0.0,0
2019-09-27,79.06,79.15,76.77,77.56,3373400,0.0,0
2019-09-30,77.87,79.09,77.62,78.77,2191100,0.0,0
2019-10-01,78.88,79.37,78.0,78.2,2803500,0.0,0
2019-10-02,77.6,77.97,75.82,76.41,3282000,0.0,0
2019-10-03,76.6,77.41,76.02,77.03,2321600,0.0,0
2019-10-04,76.96,78.07,76.96,77.99,1838400,0.0,0
2019-10-07,77.63,78.68,77.63,78.48,1908200,0.0,0
2019-10-08,77.78,78.14,77.36,77.61,2308700,0.0,0
2019-10-09,78.11,78.28,77.31,77.79,1967200,0.0,0
2019-10-10,77.72,78.49,77.03,78.3,2393300,0.0,0
2019-10-11,78.66,80.03,78.55,79.53,2070000,0.0,0
2019-10-14,79.53,79.53,78.57,78.63,1982300,0.0,0
2019-10-15,78.95,79.94,78.8,79.74,1805000,0.0,0
2019-10-16,79.74,80.18,79.6,80.01,2261500,0.0,0
2019-10-17,80.45,81.18,79.17,81.05,3903800,0.0,0
2019-10-18,81.14,82.33,80.78,81.6,3197200,0.0,0
2019-10-21,81.77,82.53,81.71,82.09,2899400,0.0,0
2019-10-22,82.53,82.57,81.65,81.67,2141800,0.0,0
2019-10-23,81.44,81.75,81.07,81.36,1256200,0.0,0
2019-10-24,81.25,81.63,81.02,81.48,1884900,0.0,0
2019-10-25,81.68,82.18,81.51,81.62,2006100,0.0,0
2019-10-28,82.01,83.12,81.76,82.39,3054300,0.0,0
2019-10-29,81.24,82.37,79.72,81.77,4154800,0.0,0
2019-10-30,81.57,83.85,81.54,83.27,4150000,0.0,0
2019-10-31,83.35,83.5,81.78,82.66,2548900,0.0,0
2019-11-01,83.09,83.19,82.0,82.47,2585800,0.0,0
2019-11-04,82.7,82.81,80.45,80.92,3055800,0.0,0
2019-11-05,81.06,81.85,80.85,81.47,1622800,0.0,0
2019-11-06,81.6,81.95,81.29,81.86,2705600,0.0,0
2019-11-07,82.4,83.03,81.57,81.86,2674200,0.0,0
2019-11-08,81.8,81.84,80.83,80.94,1614800,0.0,0
2019-11-11,80.59,81.14,77.55,79.62,6388500,0.0,0
2019-11-12,79.62,79.65,77.2,77.43,4346000,0.0,0
2019-11-13,77.63,78.07,76.8,77.97,2715800,0.0,0
2019-11-14,77.38,77.82,76.49,76.84,2881500,0.0,0
2019-11-15,77.56,79.5,77.33,78.07,3941400,0.0,0
2019-11-18,76.87,78.45,76.33,78.19,4235800,0.0,0
2019-11-19,78.2,78.3,76.92,77.16,2332900,0.0,0
2019-11-20,76.85,77.68,76.72,77.64,2779400,0.0,0
2019-11-21,77.84,77.94,77.36,77.7,1694800,0.0,0
2019-11-22,77.95,78.78,77.79,78.59,2896100,0.0,0
2019-11-25,78.74,78.87,77.59,78.0,2978200,0.0,0
2019-11-26,77.91,78.69,77.59,78.45,2832200,0.0,0
2019-11-27,78.47,79.3,78.47,78.98,2081500,0.0,0
2019-11-29,78.88,79.28,78.5,78.55,872900,0.0,0
2019-12-02,78.58,78.84,76.86,77.64,2881400,0.0,0
2019-12-03,77.45,78.06,76.81,78.01,1956600,0.0,0
2019-12-04,78.05,78.53,77.44,78.34,1905500,0.0,0
2019-12-05,78.07,78.2,76.9,76.94,2820400,0.0,0
2019-12-06,77.54,78.0,76.63,77.74,2900300,0.0,0
2019-12-09,77.7,77.9,75.3,75.87,4364300,0.0,0
2019-12-10,75.79,75.91,74.93,75.02,3080600,0.0,0
2019-12-11,75.08,75.41,74.31,74.62,3374000,0.0,0
2019-12-12,75.23,75.25,74.46,74.89,2845600,0.0,0
2019-12-13,74.97,75.54,74.65,75.47,2725400,0.0,0
2019-12-16,75.53,75.85,75.23,75.47,3487900,0.0,0
2019-12-17,75.45,75.7,75.02,75.49,3603800,0.0,0
2019-12-18,75.62,76.42,75.46,76.31,4106300,0.0,0
2019-12-19,76.04,77.55,76.0,77.22,2991900,0.0,0
2019-12-20,77.93,77.93,77.02,77.4,5944300,0.0,0
2019-12-23,77.47,77.56,76.92,76.96,1709400,0.0,0
2019-12-24,77.05,77.41,76.92,77.32,470100,0.0,0
2019-12-26,77.46,77.54,77.31,77.4,1240900,0.0,0
2019-12-27,77.32,77.5,77.01,77.24,1310000,0.0,0
2019-12-30,77.47,78.1,77.18,78.08,2342000,0.0,0
2019-12-31,77.94,78.44,77.78,78.42,1714900,0.0,0
2020-01-02,78.88,78.89,77.93,78.59,3392700,0.0,0
2020-01-03,78.06,78.43,77.47,78.17,1831900,0.0,0
2020-01-06,78.13,78.85,77.97,78.62,2675300,0.0,0
2020-01-07,78.57,79.51,78.15,78.92,3262400,0.0,0
2020-01-08,79.22,79.79,78.08,79.42,3037400,0.0,0
2020-01-09,79.77,80.33,79.4,79.81,2981900,0.0,0
2020-01-10,80.21,80.21,78.85,79.0,2224800,0.0,0
2020-01-13,79.17,79.56,78.89,79.4,2283400,0.0,0
2020-01-14,79.17,79.95,78.86,79.8,2050100,0.0,0
2020-01-15,79.86,80.48,79.62,80.27,1612300,0.0,0
2020-01-16,80.27,81.52,80.27,81.44,3109300,0.0,0
2020-01-17,81.95,82.24,81.57,82.15,3559600,0.0,0
2020-01-21,81.99,82.95,81.8,82.03,3612000,0.0,0
2020-01-22,82.14,83.03,82.07,82.49,1672500,0.0,0
2020-01-23,82.3,82.37,81.95,82.18,1754900,0.0,0
2020-01-24,82.29,82.59,81.33,81.58,1596500,0.0,0
2020-01-27,80.89,81.55,80.38,80.72,1934600,0.0,0
2020-01-28,81.08,82.3,80.93,81.66,2395000,0.0,0
2020-01-29,81.87,81.89,80.09,80.26,2602400,0.0,0
2020-01-30,79.59,81.05,79.58,80.94,2352700,0.0,0
2020-01-31,80.59,80.79,79.16,79.19,2863600,0.0,0
2020-02-03,80.36,80.76,79.33,79.46,2879800,0.0,0
2020-02-04,80.15,81.89,79.23,81.51,4597800,0.0,0
2020-02-05,81.96,82.71,81.75,81.79,2758800,0.0,0
2020-02-06,82.13,83.08,82.0,82.77,2976200,0.0,0
2020-02-07,83.37,85.79,82.26,85.44,6740600,0.0,0
2020-02-10,85.41,85.65,84.38,84.53,3423100,0.0,0
2020-02-11,93.7,95.23,92.66,94.49,25874400,0.0,0
2020-02-12,94.0,96.27,93.92,95.67,8915500,0.0,0
2020-02-13,95.12,96.15,94.8,95.14,5490500,0.0,0
2020-02-14,95.26,96.62,95.02,96.48,3045900,0.0,0
2020-02-18,96.85,100.02,96.28,99.88,7460100,0.0,0
2020-02-19,101.16,101.35,99.64,100.49,6091300,0.0,0
2020-02-20,100.1,100.42,98.23,99.5,6350400,0.0,0
2020-02-21,98.97,99.49,96.62,98.57,12101000,0.0,0
2020-02-24,96.13,97.31,95.88,96.37,4700900,0.0,0
2020-02-25,96.56,97.0,94.45,94.58,5117500,0.0,0
2020-02-26,94.68,95.66,93.44,93.65,4371300,0.0,0
2020-02-27,92.83,93.32,91.16,91.24,5856400,0.0,0
2020-02-28,89.44,90.5,87.48,90.16,6958100,0.0,0
2020-03-02,90.28,93.36,88.98,93.29,5160600,0.0,0
2020-03-03,92.63,93.92,88.77,89.37,5702000,0.0,0
2020-03-04,90.43,93.96,90.25,93.81,5222200,0.0,0
2020-03-05,91.61,93.16,89.19,89.86,4941300,0.0,0
2020-03-06,86.1,88.28,85.42,87.86,5978500,0.0,0
2020-03-09,83.27,84.89,79.58,79.75,7946600,0.0,0
2020-03-10,81.98,85.01,80.21,84.98,6713600,0.0,0
2020-03-11,82.86,87.83,82.85,86.45,8840300,0.0,0
2020-03-12,82.02,85.0,76.41,76.76,9075300,0.0,0
2020-03-13,80.15,85.52,76.61,85.39,7401700,0.0,0
2020-03-16,78.34,80.55,74.84,76.53,6787700,0.0,0
2020-03-17,77.6,80.4,75.45,78.35,7609100,0.0,0
2020-03-18,74.6,76.1,63.5,74.32,11114200,0.0,0
2020-03-19,74.77,81.99,73.61,79.45,8906200,0.0,0
2020-03-20,80.0,82.0,73.16,74.55,6836600,0.0,0
2020-03-23,74.98,76.66,70.83,75.7,8328800,0.0,0
2020-03-24,78.5,79.71,75.83,78.65,5929100,0.0,0
2020-03-25,77.77,85.47,77.75,79.17,6252700,0.0,0
2020-03-26,80.0,84.99,79.73,84.63,4821300,0.0,0
2020-03-27,82.54,83.9,81.02,81.72,4309600,0.0,0
2020-03-30,82.29,83.86,81.24,83.12,5625200,0.0,0
2020-03-31,83.04,84.75,81.98,83.9,6920600,0.0,0
2020-04-01,82.99,86.71,82.7,85.13,11018800,0.0,0
2020-04-02,85.05,88.52,84.02,84.41,22956100,0.0,0
2020-04-03,84.56,84.99,81.04,81.98,8378500,0.0,0
2020-04-06,84.49,86.49,82.99,86.09,5256300,0.0,0
2020-04-07,87.66,87.91,85.17,86.51,4410100,0.0,0
2020-04-08,86.6,87.64,86.0,86.85,3831600,0.0,0
2020-04-09,86.88,87.75,84.93,85.9,5770900,0.0,0
2020-04-13,84.59,87.28,84.47,86.17,3955700,0.0,0
2020-04-14,87.19,89.94,86.4,89.62,4787100,0.0,0
2020-04-15,87.92,89.39,87.1,88.54,5804000,0.0,0
2020-04-16,89.11,90.58,88.07,90.27,4796400,0.0,0
2020-04-17,92.75,93.3,89.86,90.99,3847500,0.0,0
2020-04-20,89.58,91.73,89.05,89.94,3508700,0.0,0
2020-04-21,89.25,89.89,86.1,87.22,3946400,0.0,0
2020-04-22,89.88,90.65,88.28,90.16,4261900,0.0,0
2020-04-23,90.68,91.88,89.29,90.34,4537100,0.0,0
2020-04-24,90.39,91.0,89.01,90.8,3564100,0.0,0
2020-04-27,91.32,91.38,89.02,90.91,3726300,0.0,0
2020-04-28,91.24,91.41,87.89,87.94,3356500,0.0,0
2020-04-29,89.04,90.03,87.97,89.31,3110700,0.0,0
2020-04-30,88.9,89.02,87.3,87.8,3938100,0.0,0
2020-05-01,87.74,88.11,85.81,86.2,3162000,0.0,0
2020-05-04,86.77,88.97,86.06,88.96,4212200,0.0,0
2020-05-05,88.78,89.77,88.44,88.97,3020100,0.0,0
2020-05-06,89.22,89.73,86.41,86.59,3840900,0.0,0
2020-05-07,90.35,95.4,90.23,95.29,10442000,0.0,0
2020-05-08,96.64,98.77,95.03,98.52,4851100,0.0,0
2020-05-11,96.48,97.46,95.98,96.72,3732800,0.0,0
2020-05-12,96.18,96.67,94.55,94.61,3773600,0.0,0
2020-05-13,94.39,94.53,91.5,92.78,3256900,0.0,0
2020-05-14,92.54,95.07,92.16,94.91,3990100,0.0,0
2020-05-15,95.02,97.67,93.73,97.32,6715500,0.0,0
2020-05-18,98.16,102.73,98.07,101.9,6392800,0.0,0
2020-05-19,98.41,99.76,96.15,98.6,21394500,0.0,0
2020-05-20,99.14,99.8,97.8,98.14,5978700,0.0,0
2020-05-21,98.75,98.75,93.0,94.39,5586900,0.0,0
2020-05-22,94.54,96.72,94.35,95.8,4849300,0.0,0
2020-05-26,96.92,97.24,94.46,95.57,5007200,0.0,0
2020-05-27,95.66,98.17,95.06,97.2,4540400,0.0,0
2020-05-28,97.52,99.83,97.15,99.22,5457700,0.0,0
2020-05-29,99.27,100.4,97.32,100.04,9792500,0.0,0
2020-06-01,99.96,101.0,99.32,99.7,2903300,0.0,0
2020-06-02,98.66,100.5,98.51,100.41,4720200,0.0,0
2020-06-03,100.91,102.35,100.44,101.21,3756300,0.0,0
2020-06-04,101.54,101.69,99.79,100.17,2534100,0.0,0
2020-06-05,101.3,102.97,100.5,101.13,3957900,0.0,0
2020-06-08,100.74,105.11,100.44,104.46,5043500,0.0,0
2020-06-09,102.18,103.54,101.77,103.19,5037000,0.0,0
2020-06-10,102.81,106.72,102.81,105.79,6273500,0.0,0
2020-06-11,104.51,105.31,100.74,100.89,7689300,0.0,0
2020-06-12,104.25,105.05,100.26,102.31,5288500,0.0,0
2020-06-15,101.32,105.19,100.73,104.68,3842000,0.0,0
2020-06-16,104.0,104.0,100.11,102.89,5766100,0.0,0
2020-06-17,103.0,104.8,102.34,102.63,3753200,0.0,0
2020-06-18,103.82,106.84,103.25,106.39,4698900,0.0,0
2020-06-19,107.34,109.0,106.39,106.9,9268300,0.0,0
2020-06-22,106.86,108.7,106.03,106.6,5090500,0.0,0
2020-06-23,103.7,110.46,103.5,107.16,22929100,0.0,0
2020-06-24,105.46,109.14,104.57,108.43,66903100,0.0,0
2020-06-25,109.78,111.58,108.51,110.19,55407300,0.0,0
2020-06-26,109.15,109.85,104.73,105.2,25367800,0.0,0
2020-06-29,105.79,106.26,103.95,105.96,9096800,0.0,0
2020-06-30,105.9,106.2,104.0,104.15,10833800,0.0,0
2020-07-01,105.68,106.25,103.85,106.13,9599900,0.0,0
2020-07-02,106.95,107.34,105.35,106.01,6411900,0.0,0
2020-07-06,106.6,107.68,106.2,106.78,5256500,0.0,0
2020-07-07,106.44,107.59,105.55,105.8,5572500,0.0,0
2020-07-08,106.25,106.63,105.37,106.61,4300400,0.0,0
2020-07-09,106.66,106.72,105.05,106.17,3956600,0.0,0
2020-07-10,105.82,107.19,105.29,107.05,4557900,0.0,0
2020-07-13,106.89,107.55,104.23,104.52,5752500,0.0,0
2020-07-14,103.57,106.54,103.57,105.39,7881900,0.0,0
2020-07-15,105.51,106.08,104.53,104.92,4476300,0.0,0
2020-07-16,104.5,104.86,103.43,104.49,5751200,0.0,0
2020-07-17,104.87,105.73,104.09,105.35,4009300,0.0,0
2020-07-20,105.4,106.28,105.03,106.14,3632400,0.0,0
2020-07-21,106.35,106.48,105.25,105.58,3602400,0.0,0
2020-07-22,105.66,106.34,104.74,104.93,4655300,0.0,0
2020-07-23,105.21,105.28,104.36,104.51,6640800,0.0,0
2020-07-24,104.52,105.23,104.23,104.93,4990000,0.0,0
2020-07-27,104.53,106.27,104.35,105.62,7958900,0.0,0
2020-07-28,105.0,105.5,104.0,104.52,3670000,0.0,0
2020-07-29,105.22,106.37,104.54,105.78,3606200,0.0,0
2020-07-30,104.72,105.95,104.59,105.48,2689400,0.0,0
2020-07-31,105.63,107.42,105.05,107.38,4119200,0.0,0
2020-08-03,107.98,108.74,106.82,106.88,4548000,0.0,0
2020-08-04,106.63,108.42,106.38,108.39,2991200,0.0,0
2020-08-05,108.74,109.16,107.26,107.9,3114600,0.0,0
2020-08-06,107.32,108.3,107.18,108.1,4016600,0.0,0
2020-08-07,113.24,118.0,113.09,115.09,13770400,0.0,0
2020-08-10,115.06,116.65,113.6,116.07,4812500,0.0,0
2020-08-11,116.08,116.2,113.28,113.59,4763100,0.0,0
2020-08-12,114.27,116.24,114.07,115.25,3512800,0.0,0
2020-08-13,115.15,117.15,114.89,115.37,3030500,0.0,0
2020-08-14,115.7,116.09,114.33,115.49,2027600,0.0,0
2020-08-17,115.98,117.32,115.82,116.87,3308700,0.0,0
2020-08-18,117.68,117.73,115.86,116.02,2363300,0.0,0
2020-08-19,116.69,116.93,114.92,115.14,2700400,0.0,0
2020-08-20,114.56,115.86,114.51,115.4,2268800,0.0,0
2020-08-21,114.34,115.25,113.38,115.01,2841000,0.0,0
2020-08-24,115.03,116.09,114.76,115.26,2713500,0.0,0
2020-08-25,115.56,115.56,114.6,115.41,2322300,0.0,0
2020-08-26,115.11,116.24,114.74,116.19,2953400,0.0,0
2020-08-27,116.62,116.62,115.0,115.24,2464800,0.0,0
2020-08-28,115.25,116.35,114.88,116.26,2797900,0.0,0
2020-08-31,115.49,117.11,115.41,116.68,3926100,0.0,0
2020-09-01,116.63,117.33,115.95,116.9,2938600,0.0,0
2020-09-02,117.83,119.2,117.14,118.88,3600400,0.0,0
2020-09-03,118.7,119.15,113.93,114.84,4411900,0.0,0
2020-09-04,115.49,116.0,112.21,114.29,4691000,0.0,0
2020-09-08,112.63,113.85,111.08,111.57,5686500,0.0,0
2020-09-09,111.64,114.56,111.64,113.2,4024200,0.0,0
2020-09-10,113.11,114.95,111.26,111.72,3862000,0.0,0
2020-09-11,112.28,113.42,110.45,111.58,3098100,0.0,0
2020-09-14,112.95,113.49,111.64,112.27,3939000,0.0,0
2020-09-15,113.12,116.15,112.48,115.93,4821500,0.0,0
2020-09-16,116.41,117.42,113.49,113.76,5758900,0.0,0
2020-09-17,110.94,112.79,110.11,111.91,5859000,0.0,0
2020-09-18,112.21,112.65,107.79,110.72,8822900,0.0,0
2020-09-21,109.92,110.67,108.9,110.57,4562600,0.0,0
2020-09-22,111.64,112.61,110.64,112.39,4332100,0.0,0
2020-09-23,112.8,112.83,108.66,109.0,3542000,0.0,0
2020-09-24,108.21,112.15,108.15,110.55,4184700,0.0,0
2020-09-25,110.25,112.56,109.71,112.02,5134700,0.0,0
2020-09-28,112.87,114.48,112.49,114.24,5850900,0.0,0
2020-09-29,114.35,114.84,113.29,113.52,3221100,0.0,0
2020-09-30,113.36,115.09,112.01,114.36,5172300,0.0,0
2020-10-01,115.0,116.43,113.89,115.73,4306500,0.0,0
2020-10-02,114.41,115.7,113.0,113.41,4014900,0.0,0
2020-10-05,113.46,114.99,113.42,114.8,2657000,0.0,0
2020-10-06,113.61,114.47,111.8,112.45,3335500,0.0,0
2020-10-07,113.02,114.52,112.62,114.22,3367400,0.0,0
2020-10-08,114.89,115.6,114.28,115.49,2254800,0.0,0
2020-10-09,115.58,117.52,115.52,117.23,3340100,0.0,0
2020-10-12,118.06,121.36,117.4,120.07,6498700,0.0,0
2020-10-13,120.8,123.42,120.07,121.57,5326500,0.0,0
2020-10-14,122.05,122.24,116.45,116.67,6639800,0.0,0
2020-10-15,115.81,116.95,114.07,115.3,3287400,0.0,0
2020-10-16,115.81,116.78,114.85,114.96,3761400,0.0,0
2020-10-19,115.47,115.55,112.01,112.75,3037500,0.0,0
2020-10-20,113.9,114.21,112.7,113.07,2745000,0.0,0
2020-10-21,112.67,113.79,112.21,112.42,3029700,0.0,0
2020-10-22,112.77,113.76,110.88,111.64,3604500,0.0,0
2020-10-23,112.5,112.62,110.9,112.38,2269300,0.0,0
2020-10-26,111.18,112.04,110.02,111.78,2764700,0.0,0
2020-10-27,111.78,113.56,111.13,112.82,2628900,0.0,0
2020-10-28,111.3,111.93,109.66,109.8,3661800,0.0,0
2020-10-29,109.28,111.04,108.9,109.51,2895900,0.0,0
2020-10-30,108.86,109.76,107.56,109.57,4040500,0.0,0
2020-11-02,111.14,111.14,108.75,110.39,3145000,0.0,0
2020-11-03,111.25,112.39,110.71,111.12,3341400,0.0,0
2020-11-04,113.91,116.88,112.81,116.02,5025900,0.0,0
2020-11-05,117.57,119.31,116.28,117.26,7669700,0.0,0
2020-11-06,127.0,127.03,122.71,123.56,8931300,0.0,0
2020-11-09,125.48,126.96,122.57,122.78,6190600,0.0,0
2020-11-10,119.03,123.24,118.6,121.72,4454400,0.0,0
2020-11-11,122.63,126.03,122.04,125.15,3931600,0.0,0
2020-11-12,125.41,127.8,124.73,126.81,3557800,0.0,0
2020-11-13,127.33,128.52,126.31,128.23,3397600,0.0,0
